ALMIRANTE TAMANDARE DO SURS;ALMIRANTE TAMANDARE DO SULRS
ARCO IRISSP;ARCO-IRISSP
BIRITIBA MIRIMSP;BIRITIBA-MIRIMSP
BRASOPOLISMG;BRAZOPOLISMG
CEARA MIRIMRN;CEARA-MIRIMRN
CONCEICAO DA BARRA DE MINMG;CONCEICAO DA BARRA DE MINASMG
COUTO DE MAGALHAES DE MINMG;COUTO DE MAGALHAES DE MINASMG
ELDORADO DOS CARAJASPA;ELDORADO DO CARAJASPA
EMBUSP;EMBU DAS ARTESSP
EMBU GUACUSP;EMBU-GUACUSP
ENGENHEIRO PAULO DE FRONTRJ;
ENTRE IJUISRS;
EUCLIDES DA CUNHA PAULISTSP;
GUAJARA MIRIMRO;
GUARDA MORMG;
IGARAPE ACUPA;
IGARAPE MIRIPA;
ITAPAGECE;ITAPAJECE
JI PARANARO;
LAGOA DO ITAENGAPE;
LIVRAMENTO DE NOSSA SENHOBA;
MOJI MIRIMSP;
NAO ME TOQUERS;NAO-ME-TOQUERS
NOVA ESPERANCA DO SUDOESTPR;
PARATIRJ;PARATYRJ
PARIQUERA ACUSP;
PASSA VINTEMG;
PEIXE BOIPA;
PINGO DAGUAMG;
PRESIDENTE CASTELLO BRANCSC;
SANTA BARBARA DO MONTE VEMG;
SANTA CRUZ DE MONTE CASTEPR;
SANTA ISABEL DO PARAPA;
SANTA RITA DO PASSA QUATRSP;
SANTO ANTONIO DO ARACANGUSP;
SANTO ANTONIO DO AVENTUREMG;
SANTO ANTONIO DO DESCOBERGO;
SANTO ANTONIO DO RIO ABAIMG;
SAO FRANCISCO DE ITABAPOARJ;SAO FRANCISCO DE ITABAPOANARJ
SAO JOAO BATISTA DO GLORIMG;SAO JOAO BATISTA DO GLORIAMG
SAO JOSE DO VALE DO RIO PRJ;SAO JOSE DO VALE DO RIO PRETORJ
SAO JOSE DOS QUATRO MARCOMT;SAO JOSE DOS QUATRO MARCOSMT
SAO LUIS DO PARAITINGASP;SAO LUIZ DO PARAITINGASP
SAO SEBASTIAO DA BELA VISMG;SAO SEBASTIAO DA BELA VISTAMG
SAO SEBASTIAO DA BOA VISTPA;SAO SEBASTIAO DA BOA VISTAPA
SAO SEBASTIAO DA VARGEM AMG;SAO SEBASTIAO DA BELA VISTAMG
SAO SEBASTIAO DO RIO PRETMG;SAO SEBASTIAO DO RIO PRETOMG
SAO SEBASTIAO DO RIO VERDMG;SAO SEBASTIAO DO RIO VERDEMG
SAPUCAI MIRIMMG;SAPUCAI-MIRIMMG
SEM PEIXEMG;SEM-PEIXEMG
SENADOR MODESTINO GONCALVMG;SENADOR MODESTINO GONCALVESMG
TOME ACUPA;TOME-ACUPA
TRAJANO DE MORAISRJ;TRAJANO DE MORAESRJ
VARGEM GRANDE DO RIO PARDMG;VARGEM GRANDE DO RIO PARDOMG
VARRE SAIRJ;VARRE-SAIRJ
XANGRI LARS;XANGRI-LARS
XIQUE XIQUEBA;XIQUE XIQUEBA
CAMPO GRANDERN;AUGUSTO SEVERO (CAMPO GRANDE)RN
GOVERNADOR DIX SEPT ROSADRN;GOVERNADOR DIX-SEPT ROSADORN
BOA SAUDERN;JANUARIO CICCO (BOA SAUDE)RN
OLHO DAGUA DO BORGESRN;OLHO-DAGUA DO BORGESRN
VENHA VERRN;VENHA-VERRN
