ORIGEM;UF_O;DESTINO;UF_D;MáxDePT1;MáxDePT2;
ACRELANDIA;AC;CORDEIROPOLIS;SP;163;192;
ASSIS BRASIL;AC;ARARAS;SP;183;0;
ASSIS BRASIL;AC;CORDEIROPOLIS;SP;183;192;
BRASILEIA;AC;FEIRA DE SANTANA;BA;228;0;
BRASILEIA;AC;ITABUNA;BA;220;0;
BRASILEIA;AC;ITUIUTABA;MG;154;0;
BRASILEIA;AC;MONTES CLAROS;MG;189;0;
BRASILEIA;AC;ARARAS;SP;181;0;
BRASILEIA;AC;CORDEIROPOLIS;SP;181;192;
BRASILEIA;AC;RIBEIRAO PRETO;SP;181;288;
CRUZEIRO DO SUL;AC;ARARAS;SP;199;0;
CRUZEIRO DO SUL;AC;CORDEIROPOLIS;SP;199;192;
CRUZEIRO DO SUL;AC;RIBEIRAO PRETO;SP;203;288;
EPITACIOLANDIA;AC;ITABUNA;BA;223;0;
EPITACIOLANDIA;AC;MONTES CLAROS;MG;189;0;
EPITACIOLANDIA;AC;ARARAS;SP;174;0;
EPITACIOLANDIA;AC;CORDEIROPOLIS;SP;174;192;
EPITACIOLANDIA;AC;RIBEIRAO PRETO;SP;178;288;
RIO BRANCO;AC;FEIRA DE SANTANA;BA;219;0;
RIO BRANCO;AC;ITUIUTABA;MG;145;0;
RIO BRANCO;AC;MONTES CLAROS;MG;182;0;
RIO BRANCO;AC;ARACATUBA;SP;152;0;
RIO BRANCO;AC;ARARAS;SP;168;0;
RIO BRANCO;AC;CORDEIROPOLIS;SP;167;192;
RIO BRANCO;AC;RIBEIRAO PRETO;SP;171;192;
RIO BRANCO;AC;SAO BERNARDO DO CAMPO;SP;176;0;
RIO BRANCO;AC;SAO JOSE DO RIO PARDO;SP;170;0;
XAPURI;AC;ARARAS;SP;173;0;
XAPURI;AC;CORDEIROPOLIS;SP;172;192;
XAPURI;AC;RIBEIRAO PRETO;SP;180;288;
ARAPIRACA;AL;CASTRO ALVES;BA;28;120;
ARAPIRACA;AL;FEIRA DE SANTANA;BA;24;120;
ARAPIRACA;AL;FORTALEZA;CE;51;192;
ARAPIRACA;AL;IBIA;MG;98;0;
ARAPIRACA;AL;ITUIUTABA;MG;109;0;
ARAPIRACA;AL;JABOATAO DOS GUARARAPES;PE;6;96;
ARAPIRACA;AL;RIO DE JANEIRO;RJ;106;192;
ARAPIRACA;AL;ARACATUBA;SP;123;0;
ARAPIRACA;AL;ARARAQUARA;SP;116;0;
ARAPIRACA;AL;ARARAS;SP;119;0;
ARAPIRACA;AL;CORDEIROPOLIS;SP;120;0;
ARAPIRACA;AL;RIBEIRAO PRETO;SP;124;168;
ARAPIRACA;AL;SAO BERNARDO DO CAMPO;SP;117;0;
ARAPIRACA;AL;SAO JOSE DO RIO PARDO;SP;113;0;
ATALAIA;AL;FEIRA DE SANTANA;BA;28;120;
ATALAIA;AL;JABOATAO DOS GUARARAPES;PE;5;72;
ATALAIA;AL;ARARAS;SP;122;0;
ATALAIA;AL;CORDEIROPOLIS;SP;123;0;
ATALAIA;AL;SAO BERNARDO DO CAMPO;SP;121;0;
BARRA DE SAO MIGUEL;AL;FEIRA DE SANTANA;BA;27;120;
BARRA DE SAO MIGUEL;AL;JABOATAO DOS GUARARAPES;PE;6;96;
CAMPO GRANDE;AL;TRES RIOS;RJ;93;0;
CAPELA;AL;JABOATAO DOS GUARARAPES;PE;5;72;
CORURIPE;AL;JABOATAO DOS GUARARAPES;PE;24;96;
DELMIRO GOUVEIA;AL;JABOATAO DOS GUARARAPES;PE;24;96;
IGACI;AL;FEIRA DE SANTANA;BA;25;120;
